"","FY","State","StateName","VetPop","TotX","CP","Cons","EduVoc","Loan","GOE","InsInd","MedCare","Uniques"
"78","2008","MO","Missouri",522797.785742339,1783769.49791104,809602.097658311,5111.82657,58462.8201000674,0,88106.99231,28375.7776137246,794109.983658933,130189.96729047
"79","2008","MT","Montana",103729.676381848,394343.207637101,204913.693303005,496.80255,13047.0483366489,0,7082.22376,6080.75789434791,162722.681793099,30793.7977442966
"80","2008","NE","Nebraska",150394.023305233,634367.962862039,306509.802205531,8938.79303,22629.0980299214,0,19216.6436,10403.1413446475,266670.484651939,43961.13203605
"81","2008","NV","Nevada",245608.016294437,862760.332207779,363096.82768143,57023.61711,28089.5598372197,0,14283.09583,10314.1801887473,389953.051560382,55430.0362436803
"82","2008","NH","New Hampshire",131027.34113556,387592.590236441,177669.849125623,2740.42645,17618.6154146616,0,8434.16134,8198.77969687486,172930.758209281,26682.7567279561
"83","2008","NJ","New Jersey",484749.913351222,1303432.88532788,611038.941379519,4046.03351,61434.6488445855,0,16195.13267,50784.072811528,559934.056112247,81318.5918604504
"84","2008","NM","New Mexico",178081.746574414,818226.142839498,437304.716294507,-205.34619,29471.3076390663,0,14604.89244,10586.7331929991,326463.839462925,56358.271295545
"85","2008","NY","New York",1026289.25525613,3762505.96970117,1377655.49692651,14557.35922,155919.976255164,0,112182.05385,92290.6671528808,2009900.41629661,246546.431598948
"86","2008","NC","North Carolina",772263.925977952,2910699.73925286,1609267.93819422,10181.18374,127301.008368573,0,66637.3567,39536.1723732129,1057776.07987685,171827.510936992
"87","2008","ND","North Dakota",57702.8265739314,201964.77242901,99911.6752615763,8.74509,8963.52746953793,0,6127.8168,3425.27447460573,83527.7333332901,17735.4910610058
"88","2008","OH","Ohio",935439.929142463,3503208.23978912,1173148.39919785,36502.41629,80003.7415639621,0,803449.6476,56316.0257298841,1353788.00940743,201696.07438929
"89","2008","OK","Oklahoma",333876.710581077,1625516.34710802,993453.491131186,2738.85323,57476.7978859309,0,63030.04697,18146.2036248506,490670.954266051,83700.1949407197
"90","2008","OR","Oregon",345872.646486696,1369120.53947885,690566.416629423,12591.14981,46135.0959476416,0,35550.67067,20646.7871948763,563630.419226912,83771.2129242136
"91","2008","PA","Pennsylvania",1025769.86274747,3101407.88674546,1289040.60213687,62177.49934,81725.6417983974,0,133750.5799,76053.5134787016,1458660.05009149,239330.604374646
"92","2008","RI","Rhode Island",76726.0878090591,294905.371375731,133689.337604318,747.09897,7056.02073009964,0,8964.12001,6264.92553505717,138183.868526257,20003.0652663692
"93","2008","SC","South Carolina",409648.179758691,1604913.9754787,882194.890111576,10978.13823,62739.1539720674,0,31323.97763,20721.8257570543,596955.989778,103154.121151622
"94","2008","SD","South Dakota",73503.9324422644,387716.740106668,150856.311520276,79.748,11950.9349935575,0,9253.25478,4492.90797732243,211083.582835513,30602.749366165
"95","2008","TN","Tennessee",507149.531203234,1873512.23375496,900195.043295305,3468.64048,60402.9578345428,0,51650.65997,23990.2219124204,833804.71026269,122195.943007601
"96","2008","TX","Texas",1705311.04073107,7546051.3624288,3628436.23423118,45080.43758,303922.884747642,814523.74891,178379.9145,86835.4498436182,2488872.69261637,396968.522158887
"97","2008","UT","Utah",156107.423047709,508229.234835893,207248.745853307,2152.18975,21327.1216282118,0,24472.81399,8573.07960554902,244455.284008825,31414.9550365466
"98","2008","VT","Vermont",54305.5160316572,190041.64823026,81194.0507339572,395.28592,17632.9204106085,0,4293.59065,3868.10739200789,82657.6931236868,14901.7734942679
"99","2008","VA","Virginia",813977.097083595,2414460.58741966,1357030.62802954,4789.00696,143255.801100333,0,73806.28607,46409.5554952105,789169.309764577,122497.019247484
"100","2008","WA","Washington",640418.671749513,2012165.16054885,1131877.48648999,12044.58447,95445.7873870783,0,40601.01405,38149.5960954945,694046.692056282,97250.626242025
"101","2008","WV","West Virginia",174163.3966869,1046673.37847593,426830.979709635,1763.36571,57531.3085200587,0,115437.43512,7637.23127837469,437473.058137866,60998.44630158
"102","2008","WI","Wisconsin",436957.78824982,1457734.6602731,641996.161204119,3694.04717,43302.2693117313,0,42232.64238,30052.6050883664,696456.935118883,112816.567919955
"103","2008","WY","Wyoming",56140.6193341705,216217.878819714,83180.4247267538,0,5061.66529468404,0,2909.12163,2497.43294855577,122569.23421972,18836.7699318065
"104","2008","PR","Puerto Rico",119295.863786483,1003152.48376329,491507.719360623,33038.70994,19329.5969759636,0,22593.01322,2263.34408139647,434420.10018531,64401.3079895582
"105","2009","AL","Alabama",409996.943391245,1971677.7332721,1145325.14779968,9309.8592,73788.6141030135,0,31854.46927,26515.1589298212,684884.483969586,97786.2584153042
"106","2009","AK","Alaska",76467.8604161835,345074.238495711,150008.059204436,45495.4692,12795.303384522,0,5072.33141,2465.64332852641,129237.431968226,14526.2775432785
"107","2009","AZ","Arizona",561387.294735701,2128911.43753631,950928.505882791,9128.08546,113743.737600402,0,100434.51085,36864.4228308763,917812.174912239,119608.688997366
"108","2009","AR","Arkansas",257625.447564037,1503314.77502464,718243.348513477,14436.55331,39831.825436983,0,41753.92913,14606.4739123627,674442.644721815,84597.5589075191
"109","2009","CA","California",2025933.54047116,8068918.06599186,3472898.47914273,143509.79727,420520.554708182,0,176375.22085,166244.879291481,3689369.13472946,388970.093759076
"110","2009","CO","Colorado",424227.809355268,1522302.29720873,804598.540478172,7902.22245,96836.0198680082,0,55940.76111,31332.0900926637,525692.663209882,73598.8057869402
"111","2009","CT","Connecticut",237695.947668455,781794.67170301,270828.307395,2728.29591,56791.9185492132,0,15751.55173,25111.5567886107,410583.041330186,50510.8282976991
"112","2009","DE","Delaware",79166.3510955579,255329.004831455,122820.235943102,3335.7971,9231.79027969434,0,5215.4607,5135.87411449834,109589.846694161,13525.8452055872
"113","2009","DC","District of Columbia",37947.5664679478,1595912.27140123,62626.8475433168,137327.48199,6284.78538557112,0,1203892.19035,2920.86754525862,182860.098587079,9198.97534507205
"114","2009","FL","Florida",1683899.30088604,7254247.39524502,3476355.45849973,146391.39244,308118.966246787,0,143538.15635,141184.477573053,3038658.94413545,433737.440006089
"115","2009","GA","Georgia",772831.743026745,3126536.20808237,1638346.50382468,7304.55262,233493.393941708,0,104713.96778,49904.5847142035,1092773.20520178,148603.219008337
"116","2009","HI","Hawaii",117254.158252796,413840.986742792,220837.292032195,1621.518,22389.979622335,0,13063.03488,13408.5534026419,142520.60880562,19220.3060717264
"117","2009","ID","Idaho",137099.493626484,523392.427865109,244957.247334122,13057.46305,24709.2999678104,0,7073.7082,7623.36697325736,225971.34233992,34384.859446452
"118","2009","IL","Illinois",802834.042425777,2720362.55384054,980148.61438887,26956.10815,134689.519794671,0,79122.73915,65604.0747579045,1433841.4975991,170629.737787288
"119","2009","IN","Indiana",500806.359546827,1627871.2349823,718700.484917606,6338.47409,56833.7936805706,0,29495.72101,28126.5951392416,788376.166144877,116876.508283131
"120","2009","IA","Iowa",240316.776016658,842055.410982944,349403.20961683,962.63289,32637.3860018356,0,8881.73028,19466.5261152554,430703.926079023,67776.2895815766
"121","2009","KS","Kansas",229145.197922979,859632.578899672,364027.618014805,954.24631,38554.6319259115,0,22082.8846,18221.7093459351,415791.488703021,56445.3929248842
"122","2009","KY","Kentucky",339941.796652134,1633797.22770656,825210.700044543,2124.44401,54918.5759684627,0,26496.68433,17349.7910311429,707697.032322408,94213.7145374084
"123","2009","LA","Louisiana",312087.159678183,1454955.86660063,732078.945967349,32818.57015,54869.519520723,0,27684.9877,20481.6018969179,587022.24136564,81178.08117729
"124","2009","ME","Maine",140551.949961388,693774.802082708,383572.578259925,4333.05871,29128.6677175377,0,15363.9652,9623.17023200956,251753.361963236,37647.2692996635
"125","2009","MD","Maryland",476201.522141295,1584010.92991541,716029.720851489,7824.40529,81935.3598216352,0,30756.27711,39313.6494592169,708151.517383069,73885.9298678577
"126","2009","MA","Massachusetts",409183.692760278,1695609.96172435,752735.862183306,4040.18342,58772.4651001319,0,30537.27388,45541.6682826274,803982.508858282,77777.6116614771
"127","2009","MI","Michigan",723367.799282439,2224782.73465143,1076828.68614549,8202.3206,77696.8908523118,0,47709.83988,45541.7113464724,968803.285827163,126431.637540421
"128","2009","MN","Minnesota",390575.983139129,1678830.01230299,729214.602906414,9718.6422,68564.9643168297,0,71066.53676,32448.4639033524,767816.802216398,99935.1870766653
"129","2009","MS","Mississippi",209241.713136615,1103143.86953446,490414.719547728,49205.11554,32807.2881646631,0,28680.6561,15364.9526716728,486671.137510395,66248.6294019218
"130","2009","MO","Missouri",514723.898397079,2051357.11033463,890644.377870295,4165.68006,72981.5502414765,0,105505.10436,34370.3972065897,943690.000596268,125955.43174768
"131","2009","MT","Montana",102986.225559758,451635.823073856,225864.218613405,2352.46358,16774.7099261022,0,7240.76175,6975.07995507612,192428.589249273,30352.1166932182
"132","2009","NE","Nebraska",147927.549645098,763467.669382802,369853.202380639,23343.88886,33215.9618543102,0,22003.80659,12021.4769662708,303029.332731582,43205.6713678767
"133","2009","NV","Nevada",245064.350735774,1044380.06006411,405948.296856495,111649.76967,38284.9406461177,0,13947.84628,12908.4102480093,461640.796363489,55778.1045556441
"134","2009","NH","New Hampshire",129628.68284982,446589.019539172,205365.448330989,2193.23479,21843.3317817112,0,8845.35042,9001.54914177953,199340.105074692,25858.1746323086
"135","2009","NJ","New Jersey",463719.842220673,1437964.0883684,700166.646956278,2439.82211,80476.4522757247,0,18632.54374,52772.3621709075,583476.26111549,76672.1339283281
"136","2009","NM","New Mexico",176565.677864975,959847.033063936,512479.854681302,3453.83237,38203.3363269869,0,13862.26943,12198.1665513769,379649.573704271,46402.0526868006
"137","2009","NY","New York",988216.796635748,4234067.86080132,1563168.07458058,31398.3327,175138.299508199,0,126835.06782,99566.8574714067,2237961.22872114,228452.726041173
"138","2009","NC","North Carolina",770080.225833189,3421440.04474194,1883966.56229929,14780.02384,175818.924156341,0,75018.83779,50814.9772398346,1221040.71941648,175560.868779768
"139","2009","ND","North Dakota",57073.8658588858,230131.479653074,110353.886404096,140.92935,11610.184701239,0,6379.11482,3915.3166592476,97732.0477184916,17372.5075440105
"140","2009","OH","Ohio",913295.555780835,4376616.16762854,1343327.47383445,43892.23372,111814.721900999,0,1211478.21836,63182.988171579,1602920.53164151,198875.944409665
"141","2009","OK","Oklahoma",329601.343091346,1869433.54118671,1128791.02535325,3203.50822,70857.9845602112,0,84857.99775,19963.6287417337,561759.396561511,82893.8226364307
"142","2009","OR","Oregon",340019.915741625,1508594.81879406,740512.093155024,10318.66855,51921.2560701462,0,37755.98342,21566.0474675222,646520.770131364,82591.6920704479
